#Wavenumber,e1,e2
660,5.104826173,1.279664397
663,5.545588561,1.120584277
666,6.025230725,0.902123915
669,6.537422781,0.626930076
672,7.479857097,0.747007216
675,7.560811302,1.254650562
678,7.787978106,1.162841991
681,7.946451522,1.362491083
684,8.08506267,1.317352192
687,8.190753413,1.376007965
690,8.338495573,1.289356595
693,8.463389677,1.298696102
696,8.618163673,1.196165576
699,8.793423344,1.168224974
702,9.001060083,1.106539784
705,9.197669882,1.130200856
708,9.382996352,1.142971777
711,9.517497766,1.188830796
714,9.665654311,1.184238853
717,9.810137007,1.215893028
720,9.958636753,1.246039323
723,10.06476376,1.296965644
726,10.17917372,1.311074391
729,10.29196633,1.343138796
732,10.4082688,1.368918602
735,10.52423216,1.406720521
738,10.63683503,1.469856423
741,10.70231723,1.53198811
744,10.76762463,1.566645775
747,10.83499373,1.595574143
750,10.90314715,1.624337772
753,10.97386922,1.64565727
756,11.04311262,1.676298403
759,11.11562514,1.696865529
762,11.18485049,1.733948492
765,11.25687902,1.762983275
768,11.30997506,1.815520702
771,11.35804849,1.837362812
774,11.40268905,1.873566843
777,11.45430954,1.884769769
780,11.50020703,1.91882025
783,11.55357371,1.926498701
786,11.60007586,1.960994731
789,11.65460497,1.967440628
792,11.70126911,2.004054326
795,11.75648778,2.011074522
798,11.80210784,2.05318884
801,11.85073368,2.062213164
804,11.89138313,2.10059323
807,11.94163148,2.106299122
810,11.9825476,2.145737337
813,12.03352406,2.151355301
816,12.07439816,2.192917253
819,12.1257443,2.19972324
822,12.16625957,2.244418571
825,12.2175617,2.25381968
828,12.25715241,2.303378628
831,12.30723491,2.319202647
834,12.3376286,2.379356246
837,12.36983861,2.394033507
840,12.39196454,2.441098455
843,12.42696935,2.447886344
846,12.44999251,2.492509694
849,12.48617186,2.496707398
852,12.5096884,2.540298869
855,12.54670086,2.543034068
858,12.57056822,2.586110574
861,12.60832001,2.587715137
864,12.63252931,2.630361643
867,12.67115327,2.630477906
870,12.69590507,2.672164134
873,12.73666032,2.667117361
876,12.77272132,2.706911161
879,12.82213386,2.711942766
882,12.8567585,2.760764044
885,12.90523328,2.770320467
888,12.93860484,2.823867503
891,12.98637268,2.837193663
894,13.01853698,2.895084465
897,13.06551124,2.912312177
900,13.09627459,2.974806753
903,13.14221888,2.996434341
906,13.17119192,3.064244229
909,13.21567964,3.091197041
912,13.24214396,3.165749925
915,13.28434907,3.19983917
918,13.3066908,3.28453096
921,13.34416523,3.331270932
924,13.34890053,3.440480041
927,13.33858904,3.489918918
930,13.31871148,3.5606219
933,13.31723435,3.588363915
936,13.29997894,3.651224556
939,13.30133148,3.672073608
942,13.28544454,3.730497646
945,13.28838272,3.74754416
948,13.2733281,3.803009419
951,13.2772952,3.817627155
954,13.26276157,3.870986027
957,13.26742283,3.883983261
960,13.25318028,3.935838796
963,13.25828297,3.94780083
966,13.2440892,3.998726691
969,13.24936528,4.010232477
972,13.23455954,4.06157923
975,13.23675093,4.072813826
978,13.21993455,4.120217969
981,13.22299012,4.128788385
984,13.20670686,4.174481378
987,13.21030149,4.18194782
990,13.1943281,4.22643321
993,13.19827941,4.233174193
996,13.18251493,4.276694101
999,13.18671333,4.282935297
1002,13.17108393,4.325665566
1005,13.17544014,4.331585296
1008,13.15987665,4.373681644
1011,13.16429706,4.379458314
1014,13.1487155,4.421092708
1017,13.1530586,4.426982738
1020,13.13730916,4.468431366
1023,13.14106051,4.475336336
1026,13.12264643,4.516648786
1029,13.12443664,4.521080756
1032,13.1063916,4.559726144
1035,13.10878691,4.563089655
1038,13.09118085,4.600565343
1041,13.09392133,4.603326911
1044,13.07663688,4.639871522
1047,13.07965092,4.642165098
1050,13.06264586,4.67788018
1053,13.06590738,4.679759278
