#1/cm,e1,e2
,,
2028.75,-18.139,43.441
2024.89,-18.172,43.556
2021.03,-18.205,43.67
2017.18,-18.238,43.785
2013.32,-18.271,43.901
2009.46,-18.304,44.017
2005.61,-18.337,44.133
2001.75,-18.37,44.25
1997.89,-18.404,44.367
1992.11,-18.454,44.544
1988.25,-18.488,44.662
1984.39,-18.522,44.782
1980.54,-18.556,44.901
1976.68,-18.59,45.021
1972.82,-18.624,45.142
1968.97,-18.658,45.262
1965.11,-18.693,45.384
1961.25,-18.727,45.506
1957.39,-18.762,45.629
1953.54,-18.797,45.751
1949.68,-18.832,45.875
1945.82,-18.867,45.999
1941.97,-18.902,46.123
1938.11,-18.937,46.249
1934.25,-18.972,46.374
1932.32,-18.99,46.437
1928.47,-19.026,46.563
1924.61,-19.061,46.691
1920.75,-19.097,46.818
1916.9,-19.133,46.946
1913.04,-19.169,47.075
1909.18,-19.206,47.204
1905.33,-19.242,47.333
1901.47,-19.278,47.464
1897.61,-19.315,47.594
1895.68,-19.333,47.66
1891.83,-19.37,47.792
1887.97,-19.407,47.924
1884.11,-19.444,48.057
1880.26,-19.481,48.19
1876.4,-19.519,48.324
1874.47,-19.537,48.391
1870.61,-19.575,48.526
1866.76,-19.613,48.661
1862.9,-19.65,48.797
1859.04,-19.688,48.934
1857.11,-19.707,49.003
1853.26,-19.746,49.14
1849.4,-19.784,49.278
1845.54,-19.822,49.417
1841.69,-19.861,49.556
1839.76,-19.88,49.626
1835.9,-19.919,49.767
1832.04,-19.958,49.908
1828.19,-19.997,50.049
1826.26,-20.017,50.12
1822.4,-20.056,50.263
1818.54,-20.096,50.407
1816.62,-20.115,50.478
1812.76,-20.155,50.622
1808.9,-20.195,50.767
1806.97,-20.215,50.84
1803.12,-20.255,50.986
1799.26,-20.295,51.132
1795.4,-20.336,51.28
1793.47,-20.356,51.354
1789.62,-20.397,51.502
1785.76,-20.438,51.651
1783.83,-20.458,51.726
1779.98,-20.499,51.875
1778.05,-20.52,51.951
1774.19,-20.561,52.102
1770.33,-20.602,52.254
1768.4,-20.623,52.33
1764.55,-20.665,52.482
1760.69,-20.707,52.636
1758.76,-20.728,52.713
1754.91,-20.77,52.868
1752.98,-20.791,52.945
1749.12,-20.833,53.101
1745.26,-20.876,53.258
1743.33,-20.897,53.336
1739.48,-20.94,53.494
1737.55,-20.961,53.573
1733.69,-21.005,53.732
1731.76,-21.026,53.811
1727.91,-21.069,53.971
1725.98,-21.091,54.051
1722.12,-21.135,54.213
1718.26,-21.178,54.375
1716.34,-21.2,54.456
1712.48,-21.244,54.619
1710.55,-21.266,54.701
1706.69,-21.311,54.865
1704.77,-21.333,54.947
1700.91,-21.377,55.113
1698.98,-21.4,55.196
1695.12,-21.445,55.363
1693.19,-21.467,55.446
1689.34,-21.512,55.614
1687.41,-21.535,55.698
1683.55,-21.58,55.868
1681.62,-21.603,55.953
1679.7,-21.626,56.038
1675.84,-21.672,56.209
1673.91,-21.694,56.295
1670.05,-21.741,56.467
1668.12,-21.764,56.553
1664.27,-21.81,56.727
1662.34,-21.833,56.814
1658.48,-21.88,56.989
1656.55,-21.903,57.077
1654.63,-21.927,57.164
1650.77,-21.974,57.341
1648.84,-21.997,57.43
1644.98,-22.044,57.608
1643.05,-22.068,57.697
1641.13,-22.092,57.786
1637.27,-22.14,57.966
1635.34,-22.164,58.057
1631.48,-22.212,58.238
1629.55,-22.236,58.329
1627.63,-22.26,58.42
1623.77,-22.308,58.603
1621.84,-22.332,58.695
1619.91,-22.357,58.788
1616.06,-22.405,58.972
1614.13,-22.43,59.065
1612.2,-22.454,59.158
1608.34,-22.504,59.346
1606.41,-22.528,59.44
1604.48,-22.553,59.534
1600.63,-22.603,59.722
1598.7,-22.628,59.817
1596.77,-22.653,59.913
1592.91,-22.703,60.104
1590.99,-22.728,60.199
1589.06,-22.753,60.295
1585.2,-22.803,60.489
1583.27,-22.829,60.586
1581.34,-22.854,60.683
1577.49,-22.905,60.878
1575.56,-22.93,60.976
1573.63,-22.956,61.074
1571.7,-22.982,61.173
1567.84,-23.033,61.371
1565.92,-23.059,61.469
1563.99,-23.085,61.569
1560.13,-23.137,61.769
1558.2,-23.163,61.87
1556.27,-23.189,61.97
1554.34,-23.215,62.071
1550.49,-23.267,62.274
1548.56,-23.294,62.375
1546.63,-23.32,62.478
1544.7,-23.346,62.58
1540.85,-23.399,62.785
1538.92,-23.426,62.888
1536.99,-23.453,62.992
1535.06,-23.479,63.096
1533.13,-23.506,63.2
1529.27,-23.56,63.409
1527.35,-23.587,63.513
1525.42,-23.614,63.619
1523.49,-23.641,63.724
1521.56,-23.668,63.83
1517.7,-23.722,64.043
1515.78,-23.749,64.149
1513.85,-23.777,64.256
1511.92,-23.804,64.363
1509.99,-23.832,64.471
1506.13,-23.887,64.687
1504.2,-23.914,64.796
1502.28,-23.942,64.904
1500.35,-23.97,65.013
1498.42,-23.998,65.123
1496.49,-24.025,65.233
1492.63,-24.081,65.453
1490.71,-24.109,65.563
1488.78,-24.137,65.675
1486.85,-24.166,65.786
1484.92,-24.194,65.898
1482.99,-24.222,66.01
1481.06,-24.251,66.122
