Wavenumber,e1,e2
279,6.043033152,125.7458592
282,6.417960856,124.6100404
285,6.923774249,123.5996238
288,7.532173815,122.695311
291,8.237083626,121.88714
294,9.285222827,121.4478957
297,9.86989094,121.72584
300,10.00361084,121.6417624
303,10.32637011,121.706797
306,10.48037287,121.6382014
309,11.37016093,122.1388013
312,11.15773069,123.9367905
315,9.785533802,125.1134921
318,8.0734254,126.0289345
321,5.819229783,126.4707267
324,3.05704752,126.3941993
327,0.209643561,124.9109975
330,-1.446359755,122.9277433
333,-2.718249772,121.2928525
336,-3.914123034,119.6987218
339,-5.057961853,118.1228416
342,-6.33006621,116.3525273
345,-7.187848003,114.0953193
348,-7.507551344,112.104038
351,-7.728753635,110.2608548
354,-7.794180937,108.640998
357,-7.843414091,107.0697115
360,-7.713374939,105.754303
363,-7.770610675,104.6551506
366,-7.977695621,103.5880571
369,-8.273496866,102.4108896
372,-8.555283664,101.2548246
375,-8.917029563,99.99471989
378,-9.293078138,98.7146524
381,-9.733936164,97.06521249
384,-9.631729721,95.28111396
387,-9.350067909,93.79534893
390,-9.020369024,92.42284449
393,-8.641379885,91.16230835
396,-8.220245186,90.0006285
399,-7.739639916,88.95734817
402,-7.315755238,88.11747796
405,-7.019173344,87.27371429
408,-6.718743437,86.45583284
411,-6.442368801,85.62719568
414,-6.135045889,84.8580138
417,-5.844570691,84.08627169
420,-5.490506299,83.41257709
423,-5.218425809,82.82529732
426,-5.020170643,82.27185543
429,-4.873272573,81.66494217
432,-4.711840808,81.08568419
435,-4.582664813,80.4767296
438,-4.430223728,79.9056508
441,-4.305782181,79.31002137
444,-4.148104319,78.77025807
447,-4.049826602,78.22620417
450,-3.943059682,77.69985971
453,-3.865000362,77.14664455
456,-3.766861674,76.62475334
459,-3.697893051,76.07539448
462,-3.606368809,75.56000146
465,-3.547708461,75.01270069
468,-3.459301661,74.48689426
471,-3.377859183,73.92949283
474,-3.259002776,73.42399404
477,-3.166721329,72.89490103
480,-3.040041416,72.41354968
483,-2.940578319,71.90773385
486,-2.803156791,71.45315254
489,-2.689309299,70.97819072
492,-2.531149692,70.58896851
495,-2.468596602,70.20713737
498,-2.408034585,69.82707683
501,-2.383106145,69.41038268
504,-2.340176273,69.01825614
507,-2.334128558,68.58805782
510,-2.309380658,68.18312725
513,-2.325669611,67.73526926
516,-2.343863342,67.28901954
519,-2.359099462,66.72036873
522,-2.247645986,66.19137664
525,-2.139424359,65.66748955
528,-1.984917675,65.20459003
531,-1.856453569,64.72033374
534,-1.685918753,64.29114403
537,-1.549237351,63.83170568
540,-1.374277943,63.42207805
543,-1.253573732,62.95993931
546,-1.066718878,62.47633364
549,-0.810248884,61.94740786
552,-0.46102117,61.52873331
555,-0.125307535,61.10477889
558,0.283616897,60.764378
561,0.685295339,60.42241909
564,1.164526703,60.16186104
567,1.664842807,59.92329092
570,2.256687406,59.77006819
573,3.042279017,59.78535251
576,3.601965462,60.33345673
579,3.76419154,60.64702621
582,4.00360366,61.02601609
585,4.068203312,61.25639148
588,4.265757172,61.59929451
591,4.320654015,61.82263331
594,4.56957638,62.20802789
597,4.70964611,62.50273353
600,5.255214739,63.12628375
603,5.602157957,64.24962081
606,5.417864346,66.00821366
609,4.451366448,67.20537693
612,3.737899286,68.67952701
615,2.675570858,69.9153374
618,1.565167191,73.67666778
621,-5.82284193,75.94790354
624,-10.87477003,72.35942571
627,-14.56474999,68.75621781
630,-15.52631087,63.3557574
633,-14.70170547,60.13236771
636,-13.80617055,57.45114815
639,-12.67525323,55.62194426
642,-11.52487107,54.08791267
645,-10.51940043,53.17282912
648,-9.684124823,52.16973822
651,-8.748187084,51.44059122
654,-7.754679635,50.87225346
657,-7.000922045,50.83435124
660,-6.649956633,50.59273798
663,-6.290773941,50.37046664
666,-6.025133749,50.0135495
669,-5.709535617,49.74099993
672,-5.460549879,49.37881414
675,-5.157455705,49.10451753
678,-4.906516012,48.76370502
681,-4.596996964,48.51367127
684,-4.324304769,48.21937303
687,-3.982530795,48.0734812
690,-3.806882462,47.94705226
693,-3.647879261,47.80029302
696,-3.527355788,47.60527892
699,-3.389511002,47.43538474
702,-3.285129063,47.22472301
705,-3.158134963,47.04581243
708,-3.06095732,46.8314002
711,-2.939259692,46.65079266
714,-2.844305806,46.43898625
717,-2.722439502,46.26352004
720,-2.623471629,46.06193565
723,-2.48871263,45.91662606
726,-2.421841552,45.77570968
729,-2.358628067,45.63157336
732,-2.317346461,45.46199067
735,-2.266388303,45.30557273
738,-2.235536251,45.12609325
