#Frequency	Eps1	Eps2
181.92	-72.3487282149147	228.049371206857
182.563	-72.1881316758033	227.14979865083
183.206	-72.071189148734	226.262027891447
183.849	-72.0329854268265	225.272471468971
184.492	-71.8213589273447	224.131789738806
185.134	-71.3753821284732	223.042998646234
185.777	-70.777876237215	222.166170392028
186.42	-70.2384193163873	221.534692512329
187.063	-69.8296359229879	221.04997153408
187.706	-69.5695978194738	220.649577426689
188.349	-69.5321735643722	220.237239031232
188.991	-69.5745023312265	219.713838579456
189.634	-69.6956918391372	219.082823884044
190.277	-69.7731346482534	218.316724248791
190.92	-69.7381616732877	217.502470642939
191.563	-69.5984648333942	216.74813057857
192.205	-69.4698762606958	216.096723859444
192.848	-69.3535082614555	215.540415577827
193.491	-69.4314512827682	215.036513818532
194.134	-69.5813760299128	214.435617937705
194.777	-69.7535369250439	213.758043541625
195.42	-69.8982000673194	213.033484518495
196.062	-70.0403538755262	212.310915221026
196.705	-70.2246592509039	211.578571148146
197.348	-70.4669824828527	210.782865794283
197.991	-70.7007501317505	209.871736875297
198.634	-70.8381083989814	208.868447688368
199.277	-70.8049493476844	207.893703991433
199.919	-70.7723625998216	207.054494362835
200.562	-70.8473947382139	206.250957070899
201.205	-70.9794064230153	205.382605355213
201.848	-71.1423279111671	204.39714051577
202.491	-71.1819586498829	203.292575267631
203.134	-71.0691568226998	202.175825432069
203.776	-70.8242180361972	201.13124417771
204.419	-70.5140761220946	200.197979939501
205.062	-70.1734003503095	199.387614852201
205.705	-69.8745624042547	198.707548927594
206.348	-69.6604094061236	198.134640480245
206.991	-69.6734271518462	197.551328174864
207.633	-69.6867047099488	196.829745329591
208.276	-69.6790469976613	196.050730854607
208.919	-69.6040689972714	195.250045825698
209.562	-69.4761823200303	194.510641321525
210.205	-69.4453262507959	193.818205240218
210.847	-69.4751878094895	193.030781304863
211.49	-69.3856981529036	192.155130666229
212.133	-69.1759051377883	191.334548489537
212.776	-68.9348975589043	190.639406516311
213.419	-68.7760094890054	190.040896775651
214.062	-68.7266790037991	189.428371340203
214.704	-68.6545569921506	188.770059355959
215.347	-68.5743723204324	188.145726657548
215.99	-68.5499363850977	187.57281909805
216.633	-68.6753052384973	186.949365381919
217.276	-68.7606035992367	186.206411086205
217.919	-68.8655814556745	185.38191982955
218.561	-68.8242220775439	184.45963155549
219.204	-68.5964729350027	183.617580366572
219.847	-68.3992074215791	182.929641379014
220.49	-68.2515364406625	182.316386001143
221.133	-68.2342902714304	181.71351627756
221.776	-68.2755064259231	180.998550990937
222.418	-68.2049281165302	180.207171723699
223.061	-68.055575702024	179.476442904128
223.704	-67.9570768129436	178.802718454795
224.347	-67.8585824073875	178.136216709035
224.99	-67.8276745992035	177.453417473715
225.633	-67.7445907310631	176.720486831734
226.275	-67.6261842089041	176.006938767243
226.918	-67.5026079299842	175.319360939912
227.561	-67.3725511509559	174.664936427567
228.204	-67.2999456644142	174.03182104442
228.847	-67.2661863505806	173.362727035992
229.49	-67.2457580900611	172.636053698647
230.132	-67.2153654858438	171.810984531217
230.775	-67.0203987287744	170.913530937553
231.418	-66.6619815239787	170.087312500492
232.061	-66.2097030005554	169.432458223726
232.704	-65.8447063117618	168.938907340086
233.346	-65.5579387248926	168.50372835834
233.989	-65.3589265243857	168.079348962334
234.632	-65.1567204715513	167.671756159671
235.275	-65.0656471801643	167.295767514619
235.918	-65.0128890804494	166.881346362215
236.561	-64.9896343678277	166.462803571538
237.203	-65.0637322610514	165.99584196151
237.846	-65.0991115448918	165.439830682244
238.489	-65.1121695752695	164.849406525943
239.132	-65.0342459980418	164.28212651722
239.775	-65.0301129685377	163.770298047254
240.418	-65.0615448596872	163.21991497084
241.06	-65.1050730621535	162.608502120122
241.703	-65.0732293722647	161.953915005413
242.346	-64.9751828013662	161.34843208541
242.989	-64.9195449324575	160.80717828014
243.632	-64.9188748147089	160.26671828508
244.275	-64.9835415200149	159.668400196596
244.917	-65.0106830077032	158.980491400344
245.56	-64.9626991142559	158.255618983114
246.203	-64.8271758725077	157.564646821328
246.846	-64.7101763767547	156.919018777347
247.489	-64.5648428140385	156.286392879245
248.132	-64.4420393495193	155.681861215284
248.774	-64.3529668431814	155.038141734378
249.417	-64.1648367549366	154.367391147848
250.06	-63.9399841094363	153.760896714632
250.703	-63.7348309395284	153.199116702269
251.346	-63.5247278698917	152.670708755388
251.988	-63.3952438632627	152.128645828554
252.631	-63.173146039073	151.540488173517
253.274	-62.8876754881259	151.032717407393
253.917	-62.6363141923053	150.62204435855
254.56	-62.4503973199021	150.27416499841
255.203	-62.3909810535439	149.92016013645
255.845	-62.3718958512322	149.486984843909
256.488	-62.3379609928149	148.994644380694
257.131	-62.2880682682718	148.455406093083
257.774	-62.1394628329689	147.920320480126
258.417	-62.0042402747582	147.449655593276
